model,case_id,template,assertion_id,failure_category,coarse_signature,fine_signature,old_summary_signature
qwen0p5,gen_char_fine_compare_001,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,011c5130783dc09c,011c5130783dc09c
qwen0p5,gen_char_fine_compare_002,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,011c5130783dc09c,011c5130783dc09c
qwen0p5,gen_char_fine_compare_003,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,011c5130783dc09c,011c5130783dc09c
qwen0p5,gen_char_fine_compare_004,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,011c5130783dc09c,011c5130783dc09c
qwen0p5,gen_char_fine_compare_005,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,011c5130783dc09c,011c5130783dc09c
qwen0p5,gen_char_format_extract_001,char_format_extract,CH_FORMAT_WRONG_FIELD,character.format_extraction,27da525f0fce7241,ce46b94887b2d907,ce46b94887b2d907
qwen0p5,gen_char_format_extract_002,char_format_extract,CH_FORMAT_WRONG_FIELD,character.format_extraction,27da525f0fce7241,ce46b94887b2d907,ce46b94887b2d907
qwen0p5,gen_char_format_extract_003,char_format_extract,CH_FORMAT_WRONG_FIELD,character.format_extraction,27da525f0fce7241,ce46b94887b2d907,ce46b94887b2d907
qwen0p5,gen_char_format_extract_004,char_format_extract,CH_FORMAT_WRONG_FIELD,character.format_extraction,27da525f0fce7241,ce46b94887b2d907,ce46b94887b2d907
qwen0p5,gen_char_format_extract_005,char_format_extract,CH_FORMAT_WRONG_FIELD,character.format_extraction,27da525f0fce7241,ce46b94887b2d907,ce46b94887b2d907
qwen0p5,gen_char_letter_count_001,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,5be9b8e91b6bd394,5be9b8e91b6bd394
qwen0p5,gen_char_letter_count_002,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,5be9b8e91b6bd394,5be9b8e91b6bd394
qwen0p5,gen_char_letter_count_003,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,5be9b8e91b6bd394,5be9b8e91b6bd394
qwen0p5,gen_char_letter_count_004,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,71f3e815b5da74bb,71f3e815b5da74bb
qwen0p5,gen_char_letter_count_005,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,5be9b8e91b6bd394,5be9b8e91b6bd394
qwen0p5,gen_char_substring_overlap_001,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,092e86251129cc3e,092e86251129cc3e
qwen0p5,gen_char_substring_overlap_002,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,647d703f99b727ef,647d703f99b727ef
qwen0p5,gen_char_substring_overlap_003,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,092e86251129cc3e,092e86251129cc3e
qwen0p5,gen_char_substring_overlap_004,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,092e86251129cc3e,092e86251129cc3e
qwen0p5,gen_char_substring_overlap_005,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,092e86251129cc3e,092e86251129cc3e
qwen0p5,gen_state_conditional_write_001,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,c58e14a4f70a39d2,c58e14a4f70a39d2
qwen0p5,gen_state_conditional_write_002,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,c58e14a4f70a39d2,c58e14a4f70a39d2
qwen0p5,gen_state_conditional_write_003,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,c58e14a4f70a39d2,c58e14a4f70a39d2
qwen0p5,gen_state_conditional_write_004,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,c58e14a4f70a39d2,c58e14a4f70a39d2
qwen0p5,gen_state_conditional_write_005,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,c58e14a4f70a39d2,c58e14a4f70a39d2
qwen0p5,gen_state_overwrite_protection_002,state_overwrite_protection,SD_PROTECT_OVERWRITTEN,state.overwrite_protection,6d35b1dabb8c05ee,624dfcdff2201b24,624dfcdff2201b24
qwen0p5,gen_state_overwrite_protection_003,state_overwrite_protection,SD_PROTECT_OVERWRITTEN,state.overwrite_protection,6d35b1dabb8c05ee,2fed6337768005d9,2fed6337768005d9
qwen0p5,gen_state_overwrite_protection_005,state_overwrite_protection,SD_PROTECT_OVERWRITTEN,state.overwrite_protection,6d35b1dabb8c05ee,2fed6337768005d9,2fed6337768005d9
qwen0p5,gen_state_read_before_write_001,state_read_before_write,SD_READ_STATE_CLOBBERED,state.read_before_write,8e7c0747e1b1dccf,629b7c2a65cfdd7f,629b7c2a65cfdd7f
qwen0p5,gen_state_read_before_write_002,state_read_before_write,SD_READ_STATE_CLOBBERED,state.read_before_write,8e7c0747e1b1dccf,dd2c146e34aa1da5,dd2c146e34aa1da5
qwen0p5,gen_state_read_before_write_003,state_read_before_write,SD_READ_STATE_CLOBBERED,state.read_before_write,8e7c0747e1b1dccf,dd2c146e34aa1da5,dd2c146e34aa1da5
qwen0p5,gen_state_read_before_write_004,state_read_before_write,SD_READ_STATE_CLOBBERED,state.read_before_write,8e7c0747e1b1dccf,629b7c2a65cfdd7f,629b7c2a65cfdd7f
qwen0p5,gen_state_read_before_write_005,state_read_before_write,SD_READ_STATE_CLOBBERED,state.read_before_write,8e7c0747e1b1dccf,6767c6a0cd8a7c97,6767c6a0cd8a7c97
qwen0p5,gen_state_rollback_001,state_rollback,SD_ROLLBACK_NOT_RESTORED,state.rollback,eab93e2575848e56,a1ce207647a58826,a1ce207647a58826
qwen0p5,gen_state_rollback_002,state_rollback,SD_ROLLBACK_NOT_RESTORED,state.rollback,eab93e2575848e56,a1ce207647a58826,a1ce207647a58826
qwen0p5,gen_state_rollback_003,state_rollback,SD_ROLLBACK_NOT_RESTORED,state.rollback,eab93e2575848e56,a1ce207647a58826,a1ce207647a58826
qwen0p5,gen_state_rollback_004,state_rollback,SD_ROLLBACK_NOT_RESTORED,state.rollback,eab93e2575848e56,a1ce207647a58826,a1ce207647a58826
qwen0p5,gen_state_rollback_005,state_rollback,SD_ROLLBACK_NOT_RESTORED,state.rollback,eab93e2575848e56,a1ce207647a58826,a1ce207647a58826
qwen0p5,gen_state_sequence_dependency_001,state_sequence_dependency,SD_SEQUENCE_WRONG_ORDER,state.sequence_dependency,3faf9bd52afe83cf,56cb78e0873469e3,56cb78e0873469e3
qwen0p5,gen_state_sequence_dependency_002,state_sequence_dependency,SD_SEQUENCE_WRONG_ORDER,state.sequence_dependency,3faf9bd52afe83cf,56cb78e0873469e3,56cb78e0873469e3
qwen0p5,gen_state_sequence_dependency_003,state_sequence_dependency,SD_SEQUENCE_WRONG_ORDER,state.sequence_dependency,3faf9bd52afe83cf,56cb78e0873469e3,56cb78e0873469e3
qwen0p5,gen_state_sequence_dependency_004,state_sequence_dependency,SD_SEQUENCE_WRONG_ORDER,state.sequence_dependency,3faf9bd52afe83cf,56cb78e0873469e3,56cb78e0873469e3
qwen0p5,gen_state_sequence_dependency_005,state_sequence_dependency,SD_SEQUENCE_WRONG_ORDER,state.sequence_dependency,3faf9bd52afe83cf,56cb78e0873469e3,56cb78e0873469e3
qwen1p5,gen_char_fine_compare_001,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,73b29a137cbf3a8f,73b29a137cbf3a8f
qwen1p5,gen_char_fine_compare_003,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,7b2932af1b70fafc,7b2932af1b70fafc
qwen1p5,gen_char_fine_compare_004,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,7b2932af1b70fafc,7b2932af1b70fafc
qwen1p5,gen_char_fine_compare_005,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,7b2932af1b70fafc,7b2932af1b70fafc
qwen1p5,gen_char_letter_count_001,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,9207a5ca709cfa25,9207a5ca709cfa25
qwen1p5,gen_char_letter_count_003,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,9207a5ca709cfa25,9207a5ca709cfa25
qwen1p5,gen_char_letter_count_004,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,9207a5ca709cfa25,9207a5ca709cfa25
qwen1p5,gen_char_letter_count_005,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,9207a5ca709cfa25,9207a5ca709cfa25
qwen1p5,gen_char_substring_overlap_003,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,fe424d5b9cd6e8aa,fe424d5b9cd6e8aa
qwen1p5,gen_char_substring_overlap_004,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,fe424d5b9cd6e8aa,fe424d5b9cd6e8aa
qwen1p5,gen_char_substring_overlap_005,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,fe424d5b9cd6e8aa,fe424d5b9cd6e8aa
qwen1p5,gen_state_conditional_write_001,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,77d3e828311c6827,77d3e828311c6827
qwen1p5,gen_state_conditional_write_002,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,70fe4cba0b0c4fc8,70fe4cba0b0c4fc8
qwen1p5,gen_state_conditional_write_004,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,38008c5d2f7dd42d,38008c5d2f7dd42d
qwen1p5,gen_state_conditional_write_005,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,38008c5d2f7dd42d,38008c5d2f7dd42d
qwen1p5,gen_state_overwrite_protection_004,state_overwrite_protection,SD_PROTECT_OVERWRITTEN,state.overwrite_protection,6d35b1dabb8c05ee,17ba717b66d19d49,17ba717b66d19d49
qwen1p5,gen_state_read_before_write_001,state_read_before_write,SD_READ_WRONG_FINAL,state.read_before_write,aac2886f91737eb4,ee1cc4a608f85ef7,ee1cc4a608f85ef7
qwen1p5,gen_state_read_before_write_002,state_read_before_write,SD_READ_WRONG_FINAL,state.read_before_write,aac2886f91737eb4,868072a99fdd3dd9,868072a99fdd3dd9
qwen1p5,gen_state_read_before_write_003,state_read_before_write,SD_READ_WRONG_FINAL,state.read_before_write,aac2886f91737eb4,803b946ccdcd1b52,803b946ccdcd1b52
qwen1p5,gen_state_read_before_write_004,state_read_before_write,SD_READ_WRONG_FINAL,state.read_before_write,aac2886f91737eb4,b3c43b8acd45e548,b3c43b8acd45e548
qwen1p5,gen_state_rollback_001,state_rollback,SD_ROLLBACK_NOT_RESTORED,state.rollback,eab93e2575848e56,81dd6c3c3827137d,81dd6c3c3827137d
qwen1p5,gen_state_rollback_002,state_rollback,SD_ROLLBACK_NOT_RESTORED,state.rollback,eab93e2575848e56,81dd6c3c3827137d,81dd6c3c3827137d
qwen1p5,gen_state_rollback_003,state_rollback,SD_ROLLBACK_NOT_RESTORED,state.rollback,eab93e2575848e56,81dd6c3c3827137d,81dd6c3c3827137d
qwen1p5,gen_state_rollback_004,state_rollback,SD_ROLLBACK_NOT_RESTORED,state.rollback,eab93e2575848e56,81dd6c3c3827137d,81dd6c3c3827137d
qwen1p5,gen_state_rollback_005,state_rollback,SD_ROLLBACK_NOT_RESTORED,state.rollback,eab93e2575848e56,81dd6c3c3827137d,81dd6c3c3827137d
qwen1p5,gen_state_sequence_dependency_001,state_sequence_dependency,SD_SEQUENCE_WRONG_ORDER,state.sequence_dependency,3faf9bd52afe83cf,56cb78e0873469e3,56cb78e0873469e3
qwen1p5,gen_state_sequence_dependency_002,state_sequence_dependency,SD_SEQUENCE_WRONG_ORDER,state.sequence_dependency,3faf9bd52afe83cf,56cb78e0873469e3,56cb78e0873469e3
qwen1p5,gen_state_sequence_dependency_004,state_sequence_dependency,SD_SEQUENCE_WRONG_ORDER,state.sequence_dependency,3faf9bd52afe83cf,56cb78e0873469e3,56cb78e0873469e3
qwen1p5,gen_state_sequence_dependency_005,state_sequence_dependency,SD_SEQUENCE_WRONG_ORDER,state.sequence_dependency,3faf9bd52afe83cf,56cb78e0873469e3,56cb78e0873469e3
smollm360,gen_char_fine_compare_001,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,c27fc2ddcf10c4e5,c27fc2ddcf10c4e5
smollm360,gen_char_fine_compare_002,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,c27fc2ddcf10c4e5,c27fc2ddcf10c4e5
smollm360,gen_char_fine_compare_003,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,c27fc2ddcf10c4e5,c27fc2ddcf10c4e5
smollm360,gen_char_fine_compare_004,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,c27fc2ddcf10c4e5,c27fc2ddcf10c4e5
smollm360,gen_char_fine_compare_005,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,c27fc2ddcf10c4e5,c27fc2ddcf10c4e5
smollm360,gen_char_format_extract_002,char_format_extract,CH_FORMAT_WRONG_FINAL,character.format_extraction,4be71c4258b2507b,b6e6629d692e4f2c,b6e6629d692e4f2c
smollm360,gen_char_format_extract_003,char_format_extract,CH_FORMAT_WRONG_FINAL,character.format_extraction,4be71c4258b2507b,b6e6629d692e4f2c,b6e6629d692e4f2c
smollm360,gen_char_format_extract_004,char_format_extract,CH_FORMAT_WRONG_FINAL,character.format_extraction,4be71c4258b2507b,b6e6629d692e4f2c,b6e6629d692e4f2c
smollm360,gen_char_letter_count_001,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,71f3e815b5da74bb,71f3e815b5da74bb
smollm360,gen_char_letter_count_002,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,71f3e815b5da74bb,71f3e815b5da74bb
smollm360,gen_char_letter_count_003,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,71f3e815b5da74bb,71f3e815b5da74bb
smollm360,gen_char_letter_count_004,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,71f3e815b5da74bb,71f3e815b5da74bb
smollm360,gen_char_letter_count_005,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,71f3e815b5da74bb,71f3e815b5da74bb
smollm360,gen_char_substring_overlap_001,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,68007102ec23bd54,68007102ec23bd54
smollm360,gen_char_substring_overlap_002,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,68007102ec23bd54,68007102ec23bd54
smollm360,gen_char_substring_overlap_003,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,68007102ec23bd54,68007102ec23bd54
smollm360,gen_char_substring_overlap_004,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,68007102ec23bd54,68007102ec23bd54
smollm360,gen_char_substring_overlap_005,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,68007102ec23bd54,68007102ec23bd54
smollm360,gen_state_conditional_write_001,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,30c8bb1932f64509,30c8bb1932f64509
smollm360,gen_state_conditional_write_002,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,30c8bb1932f64509,30c8bb1932f64509
smollm360,gen_state_conditional_write_003,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,30c8bb1932f64509,30c8bb1932f64509
smollm360,gen_state_conditional_write_004,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,fb17d9f398e7e1f9,fb17d9f398e7e1f9
smollm360,gen_state_conditional_write_005,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,fb17d9f398e7e1f9,fb17d9f398e7e1f9
smollm360,gen_state_overwrite_protection_001,state_overwrite_protection,SD_PROTECT_WRONG_FINAL,state.overwrite_protection,e8202477bdd77474,e667802439bb0832,e667802439bb0832
smollm360,gen_state_overwrite_protection_002,state_overwrite_protection,SD_PROTECT_WRONG_FINAL,state.overwrite_protection,e8202477bdd77474,e667802439bb0832,e667802439bb0832
smollm360,gen_state_overwrite_protection_003,state_overwrite_protection,SD_PROTECT_WRONG_FINAL,state.overwrite_protection,e8202477bdd77474,e667802439bb0832,e667802439bb0832
smollm360,gen_state_overwrite_protection_004,state_overwrite_protection,SD_PROTECT_WRONG_FINAL,state.overwrite_protection,e8202477bdd77474,e667802439bb0832,e667802439bb0832
smollm360,gen_state_overwrite_protection_005,state_overwrite_protection,SD_PROTECT_WRONG_FINAL,state.overwrite_protection,e8202477bdd77474,e667802439bb0832,e667802439bb0832
smollm360,gen_state_read_before_write_001,state_read_before_write,SD_READ_STATE_CLOBBERED,state.read_before_write,8e7c0747e1b1dccf,a2d0b28295dcf1e6,a2d0b28295dcf1e6
smollm360,gen_state_read_before_write_002,state_read_before_write,SD_READ_STATE_CLOBBERED,state.read_before_write,8e7c0747e1b1dccf,a2d0b28295dcf1e6,a2d0b28295dcf1e6
smollm360,gen_state_read_before_write_003,state_read_before_write,SD_READ_STATE_CLOBBERED,state.read_before_write,8e7c0747e1b1dccf,a2d0b28295dcf1e6,a2d0b28295dcf1e6
smollm360,gen_state_read_before_write_004,state_read_before_write,SD_READ_STATE_CLOBBERED,state.read_before_write,8e7c0747e1b1dccf,a2d0b28295dcf1e6,a2d0b28295dcf1e6
smollm360,gen_state_read_before_write_005,state_read_before_write,SD_READ_STATE_CLOBBERED,state.read_before_write,8e7c0747e1b1dccf,a2d0b28295dcf1e6,a2d0b28295dcf1e6
smollm360,gen_state_rollback_005,state_rollback,SD_ROLLBACK_NOT_RESTORED,state.rollback,eab93e2575848e56,190fc60353e1c587,190fc60353e1c587
smollm360,gen_state_sequence_dependency_001,state_sequence_dependency,SD_SEQUENCE_WRONG_ORDER,state.sequence_dependency,3faf9bd52afe83cf,6161b8da3ddaab47,6161b8da3ddaab47
smollm360,gen_state_sequence_dependency_002,state_sequence_dependency,SD_SEQUENCE_WRONG_ORDER,state.sequence_dependency,3faf9bd52afe83cf,6161b8da3ddaab47,6161b8da3ddaab47
smollm360,gen_state_sequence_dependency_003,state_sequence_dependency,SD_SEQUENCE_WRONG_ORDER,state.sequence_dependency,3faf9bd52afe83cf,6161b8da3ddaab47,6161b8da3ddaab47
smollm360,gen_state_sequence_dependency_004,state_sequence_dependency,SD_SEQUENCE_WRONG_ORDER,state.sequence_dependency,3faf9bd52afe83cf,6161b8da3ddaab47,6161b8da3ddaab47
smollm360,gen_state_sequence_dependency_005,state_sequence_dependency,SD_SEQUENCE_WRONG_ORDER,state.sequence_dependency,3faf9bd52afe83cf,6161b8da3ddaab47,6161b8da3ddaab47
